NAME,state_abbrev,name_simp,y2018_median_age_male,y2018_median_age_female,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_num_vehicles_avail,y2018_total_hh,y2018_married_hh,y2018_male_bachelors,y2018_female_bachelors,y2018_poverty,y2018_median_income,y2018_hours_worked_past_year,y2018_houses_for_sale,y2018_median_value,y2018_speaks_only_english,name_classic,countryRegion,latitude,longitude,state,division,region,y2013_median_age_male,y2013_median_age_female,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_num_vehicles_avail,y2013_total_hh,y2013_married_hh,y2013_male_bachelors,y2013_female_bachelors,y2013_poverty,y2013_median_income,y2013_hours_worked_past_year,y2013_houses_for_sale,y2013_median_value,y2013_speaks_only_english,y2014_median_age_male,y2014_median_age_female,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_num_vehicles_avail,y2014_total_hh,y2014_married_hh,y2014_male_bachelors,y2014_female_bachelors,y2014_poverty,y2014_median_income,y2014_hours_worked_past_year,y2014_houses_for_sale,y2014_median_value,y2014_speaks_only_english,y2015_median_age_male,y2015_median_age_female,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_num_vehicles_avail,y2015_total_hh,y2015_married_hh,y2015_male_bachelors,y2015_female_bachelors,y2015_poverty,y2015_median_income,y2015_hours_worked_past_year,y2015_houses_for_sale,y2015_median_value,y2015_speaks_only_english,y2016_median_age_male,y2016_median_age_female,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_num_vehicles_avail,y2016_total_hh,y2016_married_hh,y2016_male_bachelors,y2016_female_bachelors,y2016_poverty,y2016_median_income,y2016_hours_worked_past_year,y2016_houses_for_sale,y2016_median_value,y2016_speaks_only_english,y2017_median_age_male,y2017_median_age_female,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_num_vehicles_avail,y2017_total_hh,y2017_married_hh,y2017_male_bachelors,y2017_female_bachelors,y2017_poverty,y2017_median_income,y2017_hours_worked_past_year,y2017_houses_for_sale,y2017_median_value,y2017_speaks_only_english
"Charlotte-Concord-Gastonia, NC-SC Metro Area",NC,Charlotte,36.2,38.4,2473125,1669633,554467,244708,1018360,925313,459052,183279,203028,309454,30846,27673647,8597,187700,1996523,"Charlotte, NC",NC,35.22709,-80.84313,North Carolina,South Atlantic,South,35.4,37.5,2261321,1577040,496721,207619,875220,848632,421836,150974,164176,336620,26954,24411208,13828,164800,1841836,35.5,37.8,2298915,1591506,506743,211636,895475,857926,423563,157326,170259,345884,27062,24752952,12986,164900,1869793,35.7,38,2338792,1609650,518153,221569,925655,871519,429472,162797,178252,343743,27344,25413761,11556,166000,1899010,36,38.1,2381152,1628022,529487,229711,955315,885916,437337,169160,184669,330068,28406,26165598,10375,170400,1931447,36.1,38.3,2427024,1647912,542050,238515,988740,906355,447897,176685,194743,320956,29867,26888270,9460,177000,1964748
"Orlando-Kissimmee-Sanford, FL Metro Area",FL,Orlando,35.8,38.3,2450261,1720668,404516,439735,981680,855265,410929,161004,185609,354691,26960,25501388,13883,201600,1558502,"Orlando, FL",FL,28.53834,-81.37924,Florida,South Atlantic,South,35.1,37.7,2183363,1574283,350380,354759,848670,770982,372518,131154,141245,333249,24376,22293251,17097,161800,1446082,35.3,37.8,2226835,1600874,361047,364012,866445,779612,375083,133938,147859,353087,24325,22526067,14987,156100,1467426,35.4,38,2277816,1627159,370772,379528,892930,798168,380704,139590,155122,365769,24455,23082598,13415,157900,1486596,35.6,38.1,2328508,1657932,380326,393188,918930,816428,387473,145704,163907,367715,25209,23782006,13451,166300,1515522,35.7,38.2,2390859,1686516,391471,414443,949235,837022,400910,155252,174472,360644,25988,24667328,13788,180100,1538802
"San Antonio-New Braunfels, TX Metro Area",TX,San Antonio,33.3,35.8,2426204,1962380,164197,287263,940510,803662,390103,127612,148963,355670,27842,26049457,7566,161400,1433683,"San Antonio, TX",NA,29.4241,-98.4936,Texas,West South Central,South,32.8,35.6,2192724,1713746,141537,258105,831500,759762,374432,111879,121399,353321,25235,23662737,9546,131100,1254369,32.9,35.6,2239222,1770074,145284,265693,851380,771789,376549,115122,126705,363302,25496,24162005,8768,134600,1294524,32.9,35.7,2286702,1822750,151999,267511,873390,779381,378103,118241,132702,361017,25492,24687150,8483,138400,1333745,33.1,35.7,2332345,1868183,156555,275148,896605,786156,380133,121089,137462,364067,26068,25175862,7655,144000,1366602,33.2,35.8,2377507,1917756,159667,278724,918710,795519,387653,125547,143203,355631,26892,25615315,7382,152400,1401825
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",OR,Portland,37.2,38.7,2417931,1964482,67913,305485,900305,925631,459710,201005,210396,272393,33675,27508740,6111,342900,1862068,"Portland, OR",ME,45.5051,-122.675,Oregon,Pacific,West,36.2,37.9,2260591,1857416,64958,281081,798890,870751,426091,164603,171899,303062,29075,24900461,10277,267500,1747548,36.5,38.1,2288796,1875968,65027,285904,808690,878078,428227,168748,177295,313670,29261,25059954,9130,264200,1766330,36.7,38.3,2320323,1901910,65734,290580,828460,886763,432966,175513,185095,311582,29663,25655742,7515,270700,1789166,36.8,38.4,2351319,1926303,66051,293891,849765,896514,440341,183126,192274,297764,30634,26265958,6986,286800,1811819,37,38.5,2382037,1944930,67881,300477,874330,912368,450478,192490,200400,288085,31882,26893138,6340,312500,1834719
"Pittsburgh, PA Metro Area",PA,Pittsburgh,41.1,44.9,2339941,2029398,190257,88707,918225,1003283,466671,174396,177715,261619,30823,25624448,11974,148000,2105031,"Pittsburgh, PA",PA,40.44062,-79.99589,Pennsylvania,Mid-Atlantic,Northeast,40.8,44.4,2358746,2068540,193351,78388,896590,989179,465674,153755,156578,281535,26436,25470754,12273,124800,2125469,40.9,44.5,2358793,2063285,193323,81362,903540,989655,462829,158050,161952,282867,27054,25487132,11775,128100,2125456,41,44.6,2358926,2058798,193454,85263,911510,991522,463906,161039,165084,283939,27350,25636271,11731,132500,2123812,41,44.8,2354926,2051961,192647,87078,916225,992104,463255,167218,169943,275615,28339,25642997,11733,136700,2120174,41.1,44.8,2348143,2041125,191188,88293,919055,1000493,466539,171401,175320,271294,29798,25641062,11827,142100,2113236
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",CA,Sacramento,35.9,38.5,2291738,1499409,162589,423251,825585,819372,402635,157957,169905,323395,31952,22235156,6231,365900,1542033,"Sacramento, CA",CA,38.58157,-121.4944,California,Pacific,West,34.9,37.6,2174401,1453347,155784,383275,737340,788184,380494,135601,147132,332548,28414,20773097,9709,272200,1478366,35.1,37.8,2197422,1462571,157983,389353,745690,791744,381297,137732,149431,347879,28384,20667253,8957,275100,1493063,35.3,38,2221525,1474715,158337,401062,760825,797135,383857,143304,153063,353197,28428,21008471,7965,286500,1504573,35.6,38.3,2242542,1484732,158882,405725,780840,804137,388765,149150,156512,349546,29793,21352312,6755,309900,1516408,35.7,38.4,2268005,1492512,160271,415868,802845,811543,396568,153522,162313,334358,30791,21864920,6504,339500,1530689
"Cincinnati, OH-KY-IN Metro Area",OH,Cincinnati,36.4,39.1,2168825,1771834,265271,102035,904005,845473,403503,146297,151879,270070,31512,23500427,6881,163100,1902454,"Cincinnati, OH",OH,39.162,-84.45689,Ohio,East North Central,Midwest,35.9,38.6,2122940,1763045,257266,88304,857135,813297,399300,131480,132957,288543,27807,22681304,13078,153400,1864957,36,38.7,2131793,1764996,260207,89284,864810,817460,398287,133872,137465,294434,28120,22702721,12046,152600,1873628,36.2,38.8,2139466,1767230,260912,91272,872475,822679,397697,136465,141944,295263,28399,22876424,10822,153400,1881934,36.3,39,2146410,1767461,262757,92479,881440,830512,399372,140200,144482,289442,29402,23075731,9778,156100,1889976,36.4,39.1,2156723,1770349,263446,98118,893225,838070,403145,144211,148211,278821,30553,23291825,8410,158800,1894618
"San Juan-Carolina-Caguas, PR Metro Area",PR,San Juan,38.8,42.5,2142392,1466521,278165,81538,582155,767520,289511,107524,177671,860144,14373,13917097,18236,125300,113605,"San Juan, PR",NA,18.4655,-66.1057,NA,NA,NA,35.5,39.2,2324828,1529254,224950,91885,597295,785798,316821,106233,171571,945160,13633,15509447,16819,136000,113561,36,39.8,2297987,1525667,227216,90313,591885,792764,314969,106674,173275,940384,13806,15195045,18837,135700,116355,36.5,40.4,2263582,1534781,233111,87752,585645,794242,310525,107439,175561,933394,13699,14722253,19618,134100,118738,37.2,41,2230563,1538626,244943,84812,586315,790515,305212,107643,178847,908633,13832,14509598,19037,132400,121299,37.9,41.7,2193264,1523290,258112,82947,582410,779035,299079,107022,178616,885783,13974,14141524,19112,128300,120674
"Las Vegas-Henderson-Paradise, NV Metro Area",NV,Las Vegas,36.5,37.8,2141574,1299138,245827,475317,823190,767954,330594,112122,117877,299169,30094,22351249,9531,238300,1318048,"Las Vegas, NV",NV,36.17497,-115.13722,Nevada,Mountain,West,35.3,36.4,1976925,1316033,209072,431587,741935,710058,316478,96574,96983,295724,27970,20849247,15247,165000,1225978,35.6,36.8,2003613,1300909,214491,436457,745325,715415,315228,98207,99061,311679,27440,20657586,12932,163100,1239553,35.9,37,2035572,1297687,220592,445605,760770,724446,317402,101869,103136,315358,27314,20926463,10946,170400,1255205,36.1,37.3,2070153,1297573,228502,455832,783595,735475,320381,104472,107663,307146,27724,21369594,9249,186700,1271156,36.3,37.5,2112436,1301043,237543,470645,808175,749858,328365,108679,113372,304449,28788,21938732,9598,212300,1295036
"Kansas City, MO-KS Metro Area",MO,Kansas City,36.1,38.5,2106632,1651435,261797,141234,917785,821644,399060,157813,168962,227093,33231,23685420,6938,173500,1770211,"Kansas City, MO",KS,39.11417,-94.62746,Missouri,West North Central,Midwest,35.5,37.9,2025297,1606492,253688,128394,854520,789604,386050,138740,146869,248170,30185,22467637,10859,158300,1703622,35.6,38,2040869,1614229,256006,131230,861340,792793,385998,141255,150561,253896,30253,22481508,10218,158300,1717427,35.7,38.1,2055675,1622391,256899,132761,871575,800071,387067,144801,155685,255005,30539,22731799,8410,159500,1730559,35.9,38.2,2070147,1631543,258859,132094,887250,806553,389960,149023,159868,248117,31093,22964632,7508,162400,1744963,36,38.4,2088830,1641064,260124,138274,903145,815314,395615,153550,164274,236090,32003,23362962,7607,166800,1756915
"Cleveland-Elyria, OH Metro Area",OH,Cleveland,39.5,43,2061766,1515518,410565,119597,829520,857453,362167,128470,139419,298473,29857,21130379,9364,146800,1749635,"Cleveland, OH",TN,41.4993,-81.6944,Ohio,East North Central,Midwest,39.3,42.2,2070965,1544163,414087,118205,804655,845349,369167,120168,128319,312077,26449,20737106,12576,141900,1759863,39.4,42.4,2067490,1537690,412549,118348,809860,846647,365750,120994,130504,314021,26694,20735663,11629,139800,1758390,39.4,42.6,2064483,1532711,412610,118026,813935,847608,364082,122060,132620,313983,26850,20858623,11032,138900,1755578,39.4,42.7,2061630,1525780,412837,116355,817190,848772,363019,123312,134974,306058,27410,20978117,10964,140200,1755116,39.4,42.9,2062764,1522054,410657,118540,824495,853766,363331,125352,137625,301419,28550,21114322,10194,142400,1753859
"Austin-Round Rock, TX Metro Area",TX,Austin,33.9,35,2058351,1578653,150694,308123,866515,742689,355825,190414,196964,234467,36256,25821462,5939,261400,1380593,"Austin, TX",TX,30.26715,-97.74306,Texas,West South Central,South,32.5,33.6,1782032,1374164,130701,260028,718205,660308,310264,148852,155305,257567,30932,21774739,7320,192000,1195833,32.7,33.8,1835016,1436424,133978,269646,740835,673901,314734,154222,162448,268293,31116,22349770,6935,196500,1231237,33.1,34.2,1889094,1482722,138633,278770,772410,689278,324941,163301,170356,261850,31592,23203555,6619,208700,1265247,33.3,34.5,1942615,1528195,142102,284151,804790,706066,332699,170756,177724,252295,32378,24111590,6132,223500,1303276,33.6,34.8,2000590,1554967,145243,298065,837805,724566,344937,180232,187403,240893,34654,25006802,5701,240500,1340715
"Columbus, OH Metro Area",OH,Columbus,34.9,36.8,2054062,1559532,314150,163262,876870,784786,364301,154468,161706,273069,31889,23039643,6079,173500,1725930,"Columbus, OH",GA,39.9612,-82.9988,Ohio,East North Central,Midwest,34.4,36.5,1926242,1510163,277105,131684,794555,741026,347806,132588,137023,284985,28865,21175533,10865,158100,1631929,34.6,36.6,1948188,1519779,281911,136128,807660,748544,350122,134866,138932,286351,29205,21440030,9366,158000,1650638,34.7,36.7,1972375,1530877,287592,140655,824235,756520,352036,138530,145797,283009,29535,21823634,8537,159100,1670251,34.8,36.7,1995004,1539809,296212,144820,840555,764973,355019,143973,151693,280187,30189,22226842,7380,161700,1686046,34.9,36.8,2023695,1550627,305414,150986,860810,775065,360464,148768,156021,275979,31001,22608840,7293,166600,1706409
"Indianapolis-Carmel-Anderson, IN Metro Area",IN,Indianapolis,35.4,37.5,2007497,1546964,302561,137197,857620,767335,358777,140118,151679,259224,31396,21900359,8047,155000,1694705,"Indianapolis, IN",IN,39.76838,-86.15804,Indiana,East North Central,Midwest,34.8,37.1,1911795,1492014,278279,117885,779055,728202,350098,122149,126696,268875,28051,20578201,10811,140200,1619820,35,37.1,1931182,1503587,282243,119849,790755,734934,350378,123592,130335,276528,28192,20641384,10878,139900,1637260,35.1,37.2,1950674,1515706,288032,119700,809450,741817,350626,127311,134962,274736,28449,20896460,9972,141800,1654108,35.2,37.2,1968768,1522971,293037,125803,827020,749799,352247,130203,140384,273058,29294,21227832,9459,144700,1666815,35.3,37.3,1989032,1538077,296651,132510,843150,759549,356136,134284,147149,267560,30395,21585742,8536,148500,1682351
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",CA,San Jose,35.9,38.1,1981616,914311,48498,756708,785530,653265,372591,179409,187438,155309,43829,23422640,1663,898300,888541,"San Jose, CA",CA,37.33939,-121.89496,California,Pacific,West,35.5,37.2,1868323,947104,48603,682834,705545,626372,350012,152402,166785,188015,37476,21254370,3822,636900,855858,35.7,37.5,1898457,955469,49234,700049,724350,631835,354967,158628,170522,187017,37769,21591022,3493,654800,864497,35.9,37.7,1925706,951058,48759,715783,742390,638661,360149,162215,173488,181892,38311,22062080,2456,688500,873527,35.8,37.8,1943107,932437,48443,728952,754470,643969,364645,168825,178653,178437,40096,22494271,1882,740400,878215,35.9,38,1969897,917766,48756,750104,770735,647891,367887,173260,183498,168195,41405,23042602,1645,815000,884526
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",TN,Nashville,35.5,37.2,1864138,1451352,283486,149564,804390,704111,351983,134829,148173,226647,31365,21505599,5264,217500,1553038,"Nashville, TN",TN,36.16589,-86.78444,Tennessee,East South Central,South,35.1,37,1702603,1329117,259834,123973,695500,645758,318511,110763,116769,237066,27249,19094829,9941,171800,1431484,35.2,37.1,1730515,1345636,264401,128489,710755,654063,322078,114483,121258,243313,27348,19328795,8671,171700,1452990,35.3,37.1,1761848,1370259,268926,134423,737175,664881,328963,119296,128562,238387,28070,19859459,7329,174700,1476903,35.3,37.2,1794570,1399093,273285,136408,758825,677129,334864,122928,133552,236567,29079,20302882,6568,183400,1504896,35.4,37.2,1830410,1428705,278089,143603,782360,691266,344336,129998,140920,230237,30362,20901580,5586,197000,1529694
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",VA,Virginia Beach,34.1,37.8,1722001,1019194,526089,113392,729195,644632,305034,99289,121785,193120,31759,20033797,8434,242100,1465974,"Virginia Beach, VA",NA,36.8529,-75.978,Virginia,South Atlantic,South,33.3,37.3,1688238,1020899,523437,104291,701910,623647,298768,90601,107770,192772,29807,19734523,8606,240000,1442789,33.4,37.4,1697898,1022409,524445,107491,703300,626974,298786,91918,108928,199333,30015,19651124,8503,235900,1447711,33.5,37.4,1706878,1025278,525583,107516,713155,631299,298325,93672,112659,202677,29774,19708909,8332,233800,1454690,33.7,37.6,1714428,1026935,526114,109321,719125,636750,299172,95071,116588,202919,30229,19761456,7860,234200,1461421,33.9,37.7,1717708,1022949,525663,110516,725455,638027,301581,96651,119696,200607,30834,19902538,8129,236600,1462560
"Providence-Warwick, RI-MA Metro Area",RI,Providence,38.6,41.9,1615516,1327081,91894,216469,670235,627503,284028,102086,112812,195494,31293,17179805,6322,266700,1197164,"Providence, RI",RI,41.82399,-71.41283,Rhode Island,New England,Northeast,38.1,41.3,1601565,1343890,85972,203420,639780,620095,281255,95606,100727,203773,27346,16703075,6469,259500,1197950,38.2,41.4,1604317,1341259,86950,204506,643990,620570,279409,95788,101558,211778,27482,16661730,6596,253900,1200328,38.4,41.5,1606424,1336546,88688,208643,650995,622631,280058,97198,103550,212239,28044,16825969,6583,250700,1199721,38.6,41.7,1609359,1333522,89803,210736,655865,623173,279983,98300,106700,207499,28919,16896006,6434,251400,1199638,38.5,41.9,1613154,1330123,89671,215109,663100,627931,285021,100721,110349,201968,30270,17102350,6395,257300,1197486
"Milwaukee-Waukesha-West Allis, WI Metro Area",WI,Milwaukee,36.5,38.9,1575907,1148488,261568,114927,660280,629381,279897,111185,129363,215961,31876,16984108,4647,204700,1291598,"Milwaukee, WI",WI,43.0389,-87.90647,Wisconsin,East North Central,Midwest,35.7,38.4,1560621,1168692,258576,108399,625430,619220,278473,103327,116018,234033,28499,16628413,5032,198100,1278180,35.9,38.5,1565368,1166819,258877,108738,630015,622201,279437,105883,119582,237992,28843,16590881,5425,194700,1282633,36.1,38.6,1570006,1166909,260540,111229,638465,624146,279923,108789,122283,233399,29332,16750331,4941,193600,1284486,36.2,38.7,1571730,1160636,260776,111384,646445,626504,279623,109135,123729,230666,30125,16871470,5057,194400,1287985,36.3,38.8,1575101,1157452,261429,111923,653355,627823,280542,111311,126789,224014,30973,16931883,4946,197800,1293024
"Jacksonville, FL Metro Area",FL,Jacksonville,36.8,39.7,1475386,1027884,316574,134776,586715,553919,264264,98139,105523,193080,30497,15721125,7194,188700,1214038,"Jacksonville, FL",AR,30.3322,-81.6557,Florida,South Atlantic,South,36.3,38.8,1363610,964700,295052,109896,526165,510520,244646,82890,90345,195597,27417,14167417,10617,163600,1133038,36.4,39,1380995,976345,297789,112121,530270,516599,245089,84367,91905,203994,27419,14137260,9151,158300,1147604,36.4,39.2,1401600,988696,301288,117182,542370,522706,246244,87926,95833,205123,27414,14343234,7945,158100,1162940,36.5,39.4,1424097,1002166,304877,119718,556440,531225,250912,91851,99682,200091,28041,14772600,7208,163700,1181594,36.6,39.6,1447884,1013357,311616,127005,572355,542219,259111,94602,103175,197485,29767,15209263,7295,174000,1197666
"Oklahoma City, OK Metro Area",OK,Oklahoma City,33.9,36,1369759,1009382,140763,109711,570350,511536,244688,81940,91572,192773,29724,15246735,5368,151900,1104790,"Oklahoma City, OK",OK,35.46756,-97.51643,Oklahoma,West South Central,South,33.3,35.8,1277830,947786,129082,100692,524915,484591,233556,73191,78923,194930,26104,14344531,6936,130600,1037290,33.4,35.8,1297998,962807,131681,104740,532280,490013,236385,75492,81078,198577,26614,14518578,6488,133700,1050962,33.6,35.8,1318408,978411,132802,107999,544290,494884,236482,77079,82649,197042,26899,14774385,6248,137200,1064104,33.7,35.9,1337075,991052,135828,107756,554475,500437,238772,79324,85701,196058,27548,14957779,5822,141500,1079945,33.8,35.9,1353504,1000790,138362,108602,562700,505879,241731,81002,89132,192841,28676,15103376,5892,146800,1093502
"Memphis, TN-MS-AR Metro Area",TN,Memphis,34.5,37.7,1345991,629111,629900,70837,541420,498143,207652,67252,84215,245520,27360,13218487,5054,144300,1156122,"Memphis, TN",TN,35.14953,-90.04898,Tennessee,East South Central,South,33.7,36.6,1331931,644387,606872,67664,510700,486211,205614,64273,76298,250699,25249,12966181,8047,134300,1145657,33.8,36.8,1337014,642009,614468,67144,518130,489161,206308,66166,79252,254320,25452,13011829,6915,133700,1148560,34,37.1,1340336,639353,618891,68510,526300,492066,203952,66988,80768,254011,25484,13044212,6279,133300,1150077,34.1,37.3,1341339,633397,625113,67438,529060,495558,206377,66448,80944,254757,26050,13098893,5798,134900,1152160,34.4,37.5,1344058,631533,627245,69378,536385,495596,206406,66472,81620,249701,26721,13149663,5303,138200,1155190
"Raleigh, NC Metro Area",NC,Raleigh,35.5,37.4,1302632,880329,258844,156724,553155,482401,253090,118520,134033,134183,35563,14942348,3899,236200,1027838,"Raleigh, NC",NC,35.7721,-78.63861,North Carolina,South Atlantic,South,34.2,36.2,1162689,811525,234978,134994,477880,432699,225924,99134,111709,138492,31893,13146824,5948,205400,913742,34.5,36.4,1189579,827047,240035,139633,491740,440375,228151,100734,114486,142508,31923,13353460,5948,206600,935518,34.7,36.7,1216711,842151,245264,142315,504300,450125,233771,103068,119061,144376,31861,13693356,5505,210700,960817,35.1,37,1243720,854526,249748,146736,521435,460183,238738,109885,124269,141372,32512,14118535,4588,216600,984804,35.3,37.2,1273985,868609,253708,154123,538965,471659,246148,114054,128965,138085,34002,14518542,4309,224800,1005632
"Louisville/Jefferson County, KY-IN Metro Area",KY,Louisville,37.5,40.2,1285270,1028556,183864,70036,532690,501246,231156,72352,78752,164616,30173,13732713,5389,161800,1120414,"Louisville, KY",KY,38.25424,-85.75941,Kentucky,East South Central,South,37.1,39.7,1244880,1009130,173043,61776,498935,490090,229678,66304,68874,181513,26411,12944292,7816,147100,1088582,37.2,39.9,1253305,1013586,174174,63449,505855,491885,228179,67244,70691,181445,26659,12971726,7836,148000,1096449,37.3,40,1261936,1018206,175854,63662,513060,492904,226916,68140,73111,179682,26808,13168784,7368,148900,1104672,37.5,40.1,1269550,1023003,178387,64986,521255,497174,227783,70435,74690,174919,27485,13385625,6685,151800,1110447,37.5,40.2,1278203,1026770,181114,67043,527660,498979,229734,71096,76145,165781,29083,13569800,6008,155700,1117367
"Richmond, VA Metro Area",VA,Richmond,37.1,40.2,1281530,790088,380799,98661,540580,484791,224919,91543,108326,147220,33033,13753509,4064,228700,1083771,"Richmond, VA",IN,37.5407,-77.436,Virginia,South Atlantic,South,36.4,39.3,1221729,762861,367970,87632,496285,460627,217123,79001,90203,142088,30172,13019780,5628,219000,1038263,36.5,39.4,1234058,768071,371424,90640,504685,463593,217199,80346,93713,147359,30442,13048127,5288,214900,1046639,36.6,39.7,1246215,771833,373687,91777,516775,468648,216945,82472,95980,151091,30404,13225552,4635,213000,1056241,36.9,39.9,1258158,776370,376247,91617,526530,475648,219469,84706,98646,152906,30874,13421518,4514,214500,1067929,37.1,40.1,1270158,782567,378243,94065,532715,479256,222295,87971,103548,152262,31881,13606208,4029,220400,1077526
